BBC_Title,response,cause,effect,is_causal
Poland says Russian missile entered airspace then went into Ukraine,"{'cause': 'Russian missile entered airspace', 'effect': 'went into Ukraine', 'is_causal': True}",Russian missile entered airspace,went into Ukraine,True
Ukraine war: US to give Kyiv long-range ATACMS missiles - media reports,"{'cause': 'Ukraine war', 'effect': 'US to give Kyiv long-range ATACMS missiles', 'is_causal': True}",Ukraine war,US to give Kyiv long-range ATACMS missiles,True
"Wagner boss Prigozhin is in Russia, Belarus ruler Lukashenko says","{'cause': 'Wagner boss Prigozhin is in Russia', 'effect': '', 'is_causal': False}",Wagner boss Prigozhin is in Russia,,False
Ukraine's counter-offensive against Russia under way,"{'cause': ""Ukraine's counter-offensive"", 'effect': 'against Russia under way', 'is_causal': True}",Ukraine's counter-offensive,against Russia under way,True
Hungary blocks â‚¬50bn of EU funding for Ukraine,"{'cause': 'Hungary blocks â‚¬50bn of EU funding', 'effect': 'Ukraine does not receive â‚¬50bn of EU funding', 'is_causal': True}",Hungary blocks â‚¬50bn of EU funding,Ukraine does not receive â‚¬50bn of EU funding,True
Cuba uncovers Russia-Ukraine war trafficking ring,"{'cause': 'Russia-Ukraine war', 'effect': 'trafficking ring', 'is_causal': True}",Russia-Ukraine war,trafficking ring,True
Wagner to be declared a terrorist organisation by UK,"{'cause': 'Wagner', 'effect': 'to be declared a terrorist organisation by UK', 'is_causal': 'True'}",Wagner,to be declared a terrorist organisation by UK,True
"Russian air defence system destroyed in Crimea, Ukraine says","{'cause': 'Russian air defence system destroyed', 'effect': '', 'is_causal': False}",Russian air defence system destroyed,,False
Kim Jong Un: North Korea leader enters Russia to visit Putin,"{'cause': 'Kim Jong Un enters Russia', 'effect': 'to visit Putin', 'is_causal': True}",Kim Jong Un enters Russia,to visit Putin,True
"Ukraine war must end, South African President Ramaphosa tells Putin","{'cause': 'Ukraine war', 'effect': 'must end', 'is_causal': True}",Ukraine war,must end,True
Ukraine dam: What we know about Nova Kakhovka incident,"{'cause': '', 'effect': '', 'is_causal': 'False'}",,,False
What do Vladimir Putin and Tucker Carlson gain from Moscow interview?,"{'cause': ""Vladimir Putin and Tucker Carlson's Moscow interview"", 'effect': 'Gain for both parties (increased influence, propaganda, and credibility)', 'is_causal': True}",Vladimir Putin and Tucker Carlson's Moscow interview,"Gain for both parties (increased influence, propaganda, and credibility)",True
Nato membership for Ukraine a key question at Vilnius summit,"{'cause': '', 'effect': '', 'is_causal': 'False'}",,,False
Nato membership for Ukraine a key question at Vilnius summit,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Russia hikes interest rates to 12% as rouble falls,"{'cause': 'rouble falls', 'effect': 'Russia hikes interest rates to 12%', 'is_causal': True}",rouble falls,Russia hikes interest rates to 12%,True
Ukraine war: Two people killed in Zaporizhzhia attack,"{'cause': 'Zaporizhzhia attack', 'effect': 'Two people killed', 'is_causal': True}",Zaporizhzhia attack,Two people killed,True
Ukraine says it has uncovered major arms corruption,"{'cause': 'major arms corruption', 'effect': 'Ukraine says it has uncovered', 'is_causal': False}",major arms corruption,Ukraine says it has uncovered,False
Ukraine war: Seven killed in Russian missile strike on eastern town of Pokrovsk,"{'cause': 'Russian missile strike', 'effect': 'Seven killed', 'is_causal': True}",Russian missile strike,Seven killed,True
Ukraine claims Crimea landing for 'special operation' on Independence Day,"{'cause': ""Ukraine's 'special operation'"", 'effect': 'Crimea landing', 'is_causal': True}",Ukraine's 'special operation',Crimea landing,True
North Korea's Kim Jong Un to stay in Russia for several days,"{'cause': '', 'effect': '', 'is_causal': 'False'}",,,False
Bi-2: Russia anti-war band arrested in Thailand faces deportation,"{'cause': 'Russia anti-war band arrested in Thailand', 'effect': 'faces deportation', 'is_causal': True}",Russia anti-war band arrested in Thailand,faces deportation,True
Ukraine war: US to arm Kyiv with depleted uranium tank shells,"{'cause': 'Ukraine war', 'effect': 'US to arm Kyiv with depleted uranium tank shells', 'is_causal': True}",Ukraine war,US to arm Kyiv with depleted uranium tank shells,True
Belgorod raid: Insurgents defeated after rare cross-border incursion - Russia,"{'cause': 'rare cross-border incursion', 'effect': 'Insurgents defeated', 'is_causal': True}",rare cross-border incursion,Insurgents defeated,True
Ukraine dam: Thousands flee floods after dam collapse near Nova Kakhovka,"{'cause': 'dam collapse near Nova Kakhovka', 'effect': 'Thousands flee floods', 'is_causal': True}",dam collapse near Nova Kakhovka,Thousands flee floods,True
Ukraine's counter-offensive against Russia under way,"{'cause': ""Ukraine's counter-offensive"", 'effect': 'against Russia under way', 'is_causal': True}",Ukraine's counter-offensive,against Russia under way,True
Bi-2: Russian anti-war band leaves Thailand for Israel,"{'cause': 'Russian anti-war band', 'effect': 'leaves Thailand for Israel', 'is_causal': True}",Russian anti-war band,leaves Thailand for Israel,True
EU to open membership talks with Ukraine and Moldova,"{'cause': 'EU decision', 'effect': 'opening membership talks with Ukraine and Moldova', 'is_causal': True}",EU decision,opening membership talks with Ukraine and Moldova,True
Nato summit: Ukraine's future membership to be discussed by leaders in Vilnius,"{'cause': '', 'effect': ""Ukraine's future membership to be discussed by leaders in Vilnius"", 'is_causal': 'False'}",,Ukraine's future membership to be discussed by leaders in Vilnius,False
Nova Kakhovka: Who benefits from breaching the dam?,"{'cause': 'Breaching the Nova Kakhovka dam', 'effect': 'Flooding downstream areas, disrupting water supply and irrigation systems, and impacting the local ecosystem', 'is_causal': True}",Breaching the Nova Kakhovka dam,"Flooding downstream areas, disrupting water supply and irrigation systems, and impacting the local ecosystem",True
Ukraine war: First underground school to be built in Kharkiv,"{'cause': 'Ukraine war', 'effect': 'First underground school to be built in Kharkiv', 'is_causal': True}",Ukraine war,First underground school to be built in Kharkiv,True
Tucker Carlson interviews Russia's Putin - Kremlin,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Ukraine war: US says Russia using North Korea ballistic missiles,"{'cause': 'US says Russia using North Korea ballistic missiles', 'effect': 'Ukraine war', 'is_causal': True}",US says Russia using North Korea ballistic missiles,Ukraine war,True
"Ukraine war: Russia executed 77 civilians detained by its forces, UN says","{'cause': 'Russia executed', 'effect': '77 civilians detained by its forces', 'is_causal': True}",Russia executed,77 civilians detained by its forces,True
Russia accuses Ukraine of Moscow drone attack,"{'cause': 'Ukraine of Moscow drone attack', 'effect': 'Russia accuses', 'is_causal': True}",Ukraine of Moscow drone attack,Russia accuses,True
Ukraine dam: What we know about Nova Kakhovka incident,"{'cause': '', 'effect': '', 'is_causal': 'False'}",,,False
What now for Wagner after Prigozhin's death?,"{'cause': ""Prigozhin's death"", 'effect': 'uncertainty for Wagner', 'is_causal': True}",Prigozhin's death,uncertainty for Wagner,True
What do Vladimir Putin and Tucker Carlson gain from Moscow interview?,"{'cause': 'Vladimir Putin giving an interview to Tucker Carlson in Moscow', 'effect': 'Vladimir Putin and Tucker Carlson gain increased influence and publicity', 'is_causal': True}",Vladimir Putin giving an interview to Tucker Carlson in Moscow,Vladimir Putin and Tucker Carlson gain increased influence and publicity,True
Russia returns four Ukrainian children in Qatari deal,"{'cause': 'Qatari deal', 'effect': 'Russia returns four Ukrainian children', 'is_causal': True}",Qatari deal,Russia returns four Ukrainian children,True
Ukraine war: Wagner-linked senior general Sergei Surovikin 'resting',"{'cause': 'Ukraine war', 'effect': ""Wagner-linked senior general Sergei Surovikin 'resting'"", 'is_causal': True}",Ukraine war,Wagner-linked senior general Sergei Surovikin 'resting',True
Victoria Amelina: Ukrainian writer dies after Kramatorsk strike,"{'cause': 'Kramatorsk strike', 'effect': 'Ukrainian writer dies', 'is_causal': True}",Kramatorsk strike,Ukrainian writer dies,True
Darya Trepova: Russian woman jailed for 27 years for cafe bomb killing,"{'cause': 'cafe bomb', 'effect': 'Russian woman jailed for 27 years', 'is_causal': True}",cafe bomb,Russian woman jailed for 27 years,True
Rishi Sunak says the UK discourages use of cluster bombs in Ukraine,"{'cause': 'the UK discourages use of cluster bombs in Ukraine', 'effect': '', 'is_causal': False}",the UK discourages use of cluster bombs in Ukraine,,False
Zelensky in Washington: Ukrainian president at White House for talks with Biden,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
How Russia reacted after Prigozhin plane crash,"{'cause': 'Yevgeny Prigozhin died in a plane crash', 'effect': ""The Russian government launched an investigation into the crash, and the Wagner Group's leadership was taken over by Dmitry Utkin's deputy, and Prigozhin's allies were either arrested or forced to flee"", 'is_causal': True}",Yevgeny Prigozhin died in a plane crash,"The Russian government launched an investigation into the crash, and the Wagner Group's leadership was taken over by Dmitry Utkin's deputy, and Prigozhin's allies were either arrested or forced to flee",True
Ukraine war: ICC 'undeterred' by arrest warrant for chief prosecutor,"{'cause': 'arrest warrant for chief prosecutor', 'effect': ""ICC 'undeterred'"", 'is_causal': True}",arrest warrant for chief prosecutor,ICC 'undeterred',True
Belgorod: Russia blames Ukraine for shelling inside border,"{'cause': 'Ukraine shelling', 'effect': 'Russia blames', 'is_causal': True}",Ukraine shelling,Russia blames,True
Nato summit: Ukraine's future membership to be discussed by leaders in Vilnius,"{'cause': 'Nato summit', 'effect': ""Ukraine's future membership to be discussed by leaders in Vilnius"", 'is_causal': 'False'}",Nato summit,Ukraine's future membership to be discussed by leaders in Vilnius,False
Russian influencer Ivleeva fined for hosting 'almost naked' party,"{'cause': ""hosting 'almost naked' party"", 'effect': 'fined', 'is_causal': True}",hosting 'almost naked' party,fined,True
Russia strikes civilian ship in Black Sea port of Odesa - Ukraine,"{'cause': 'Russia strikes civilian ship', 'effect': 'in Black Sea port of Odesa', 'is_causal': True}",Russia strikes civilian ship,in Black Sea port of Odesa,True
Ukraine's defence minister Oleksii Reznikov dismissed,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
