,aj_id,aj_date,bbc_id,bbc_date,cosine_similarity,aj_title,bbc_title,match
1334,91,26/01/2024,1361,26/01/2024,0.846624255,"What has the ICJ ordered Israel to do on Gaza war, and what’s next?",Gaza war: ICJ to rule on call for Israel to stop military action - BBC News,0
1343,92,26/01/2024,1357,26/01/2024,0.707454622,World reacts to ICJ interim ruling in Gaza genocide case against Israel,Israel reined in by ICJ rulings on Gaza - but will it obey? - BBC News,0
1344,92,26/01/2024,1358,26/01/2024,0.766682386,World reacts to ICJ interim ruling in Gaza genocide case against Israel,ICJ says Israel must prevent genocide in Gaza - BBC News,0
1346,92,26/01/2024,1361,26/01/2024,0.700889647,World reacts to ICJ interim ruling in Gaza genocide case against Israel,Gaza war: ICJ to rule on call for Israel to stop military action - BBC News,0
1355,93,26/01/2024,1357,26/01/2024,0.782555521,ICJ rules Israel must prevent acts of genocide in Gaza: Key takeaways,Israel reined in by ICJ rulings on Gaza - but will it obey? - BBC News,0
1356,93,26/01/2024,1358,26/01/2024,0.920898616,ICJ rules Israel must prevent acts of genocide in Gaza: Key takeaways,ICJ says Israel must prevent genocide in Gaza - BBC News,1
1358,93,26/01/2024,1361,26/01/2024,0.812226951,ICJ rules Israel must prevent acts of genocide in Gaza: Key takeaways,Gaza war: ICJ to rule on call for Israel to stop military action - BBC News,0
1367,94,26/01/2024,1357,26/01/2024,0.77681452,ICJ orders Israel to prevent acts of genocide in Gaza,Israel reined in by ICJ rulings on Gaza - but will it obey? - BBC News,0
1368,94,26/01/2024,1358,26/01/2024,0.912980378,ICJ orders Israel to prevent acts of genocide in Gaza,ICJ says Israel must prevent genocide in Gaza - BBC News,0
1370,94,26/01/2024,1361,26/01/2024,0.830077529,ICJ orders Israel to prevent acts of genocide in Gaza,Gaza war: ICJ to rule on call for Israel to stop military action - BBC News,0
1379,95,26/01/2024,1357,26/01/2024,0.812713206,What the ICJ’s interim ruling means for Israel’s war on Gaza,Israel reined in by ICJ rulings on Gaza - but will it obey? - BBC News,0
1380,95,26/01/2024,1358,26/01/2024,0.750136733,What the ICJ’s interim ruling means for Israel’s war on Gaza,ICJ says Israel must prevent genocide in Gaza - BBC News,0
1382,95,26/01/2024,1361,26/01/2024,0.839249194,What the ICJ’s interim ruling means for Israel’s war on Gaza,Gaza war: ICJ to rule on call for Israel to stop military action - BBC News,0
1493,104,25/01/2024,1362,25/01/2024,0.854053736,Qatar ‘appalled’ at alleged Netanyahu criticism of mediation in Gaza war,Qatar 'appalled' by reported criticism from Israel's Netanyahu - BBC News,1
1644,112,24/01/2024,1377,23/01/2024,0.83168602,"US carries out new strikes on Houthi missiles in Yemen, Iraq sites",US and UK launch fresh strikes on Houthis in Yemen - BBC News,1
1645,112,24/01/2024,1378,23/01/2024,0.734029174,"US carries out new strikes on Houthi missiles in Yemen, Iraq sites",Latest US-UK strikes on Houthis in Yemen were self-defence - Sunak - BBC News,0
1686,115,23/01/2024,1371,23/01/2024,0.759491444,Israeli military ‘encircles’ Khan Younis after 24 soldiers killed in Gaza,Khan Younis: Israel says forces have encircled Gaza's second city - BBC News,1
1743,118,22/01/2024,1381,22/01/2024,0.72115767,US demands ‘urgent’ Israeli probe into Palestinian-American child’s death,US demands Israel conduct full investigation into Palestinian-American teen's killing - BBC News,1
1942,130,21/01/2024,1387,21/01/2024,0.770633221,Israel’s Netanyahu doubles down on opposition to Palestinian statehood,Israel-Gaza: Netanyahu defies Biden over Palestinian state - BBC News,0
2192,144,18/01/2024,1395,19/01/2024,0.72143662,Israel’s Netanyahu reiterates rejection of Palestinian state after Gaza war,Eisenkot: Key Israeli war leader challenges Netanyahu over Gaza strategy - BBC News,0
2198,144,18/01/2024,1401,19/01/2024,0.780435085,Israel’s Netanyahu reiterates rejection of Palestinian state after Gaza war,Netanyahu publicly rejects US push for Palestinian state - BBC News,1
2286,148,18/01/2024,1409,17/01/2024,0.761062026,What the designation of ‘terrorist’ means for Yemen’s Houthis,Yemen strikes: Houthis hit US-owned ship after 'terror' designation - BBC News,0
2325,150,18/01/2024,1408,18/01/2024,0.924020886,US launches new strikes on Houthi targets in Yemen,US launches fourth round of strikes on Houthi targets in Yemen - BBC News,1
2326,150,18/01/2024,1409,17/01/2024,0.762450576,US launches new strikes on Houthi targets in Yemen,Yemen strikes: Houthis hit US-owned ship after 'terror' designation - BBC News,0
2342,151,18/01/2024,1405,18/01/2024,0.743888497,Pakistan missiles strike Iran in retaliatory bombing as tensions soar,"Pakistan launches retaliatory strikes into Iran, killing nine people - BBC News",1
2348,151,18/01/2024,1411,17/01/2024,0.712344527,Pakistan missiles strike Iran in retaliatory bombing as tensions soar,Iran admits carrying out deadly strike on Pakistan territory - BBC News,0
2373,153,17/01/2024,1403,18/01/2024,0.787390292,Israel ramps up attacks on Khan Younis as aid for Gaza arrives in Egypt,Israeli troops push deep into Gaza's southern city of Khan Younis - BBC News,0
2400,154,17/01/2024,1409,17/01/2024,0.790789306,US designates Yemen’s Houthis as ‘global terrorists’,Yemen strikes: Houthis hit US-owned ship after 'terror' designation - BBC News,0
2449,156,17/01/2024,1416,16/01/2024,0.817660987,Aid headed into Gaza after Israel-Hamas seal first deal since truce ended,"Israel Gaza war: Deal reached on aid to Gaza, including to hostages - BBC News",0
2568,162,16/01/2024,1409,17/01/2024,0.812240839,Yemen’s Houthis claim attack on ship in Red Sea as US confirms new strike,Yemen strikes: Houthis hit US-owned ship after 'terror' designation - BBC News,0
2622,164,16/01/2024,1409,17/01/2024,0.737355709,US claims seizure of Iranian weapons bound for Yemen’s Houthis,Yemen strikes: Houthis hit US-owned ship after 'terror' designation - BBC News,0
2681,166,15/01/2024,1420,16/01/2024,0.71224761,Iran launches missile strikes in Iraq and Syria citing security threats,US condemns Iran for 'reckless' missile strikes on northern Iraq - BBC News,1
2767,169,15/01/2024,1422,16/01/2024,0.704523742,"Yemen’s Houthis hit US-owned ship in missile attack, US military says",Houthi missile hits US-owned container ship in Gulf of Aden - BBC News,1
2777,169,15/01/2024,1433,15/01/2024,0.817224979,"Yemen’s Houthis hit US-owned ship in missile attack, US military says",Yemen: US shoots down missile from Houthi-run area fired towards warship - BBC News,0
2799,170,15/01/2024,1426,15/01/2024,0.811416328,"At least one killed, 17 wounded in alleged car-ramming attacks in Israel","Israel: Woman killed, 17 hurt in suspected Palestinian car-ramming attack - BBC News",1
2973,176,15/01/2024,1433,15/01/2024,0.836197078,US says it shot down Houthi missile in first attack since strikes on Yemen,Yemen: US shoots down missile from Houthi-run area fired towards warship - BBC News,1
3173,184,13/01/2024,1458,12/01/2024,0.718448162,US launches new strikes on Yemen’s Houthis as conflict escalates,"UK and US strikes on Houthi sites in Yemen are self-defence, says Rishi Sunak - BBC News",0
3200,186,12/01/2024,1444,13/01/2024,0.702809453,‘Dangerous’: US attacks on Yemen’s Houthis belie push for de-escalation,Yemen strikes 'embolden' extremists - former ambassador - BBC News,0
3302,190,12/01/2024,1454,12/01/2024,0.733029962,What is South Africa’s five-point ICJ argument against Israel?,Israel says South Africa distorting the truth in ICJ genocide case - BBC News,0
3329,191,12/01/2024,1458,12/01/2024,0.776405931,"World reacts to US, UK attacks on Houthi targets in Yemen","UK and US strikes on Houthi sites in Yemen are self-defence, says Rishi Sunak - BBC News",0
3375,193,12/01/2024,1458,12/01/2024,0.73768568,US and UK launch strikes against Yemen; Houthi rebels promise to retaliate,"UK and US strikes on Houthi sites in Yemen are self-defence, says Rishi Sunak - BBC News",0
3445,197,11/01/2024,1450,12/01/2024,0.804320216,Day one of the ICJ genocide hearing against Israel: Key takeaways,South Africa's genocide case against Israel: Both sides play heavy on emotion in ICJ hearing - BBC News,1
3449,197,11/01/2024,1454,12/01/2024,0.746948957,Day one of the ICJ genocide hearing against Israel: Key takeaways,Israel says South Africa distorting the truth in ICJ genocide case - BBC News,0
3485,199,11/01/2024,1450,12/01/2024,0.861007094,ICJ hears South Africa’s genocide case against Israel over Gaza war,South Africa's genocide case against Israel: Both sides play heavy on emotion in ICJ hearing - BBC News,0
3489,199,11/01/2024,1454,12/01/2024,0.860388637,ICJ hears South Africa’s genocide case against Israel over Gaza war,Israel says South Africa distorting the truth in ICJ genocide case - BBC News,0
3519,200,11/01/2024,1464,11/01/2024,0.800407767,Iran seizes oil tanker off Oman in dispute with US,Iran seizes oil tanker St Nikolas near Oman - BBC News,1
3585,204,11/01/2024,1450,12/01/2024,0.747727096,A quick guide to South Africa’s ICJ case against Israel,South Africa's genocide case against Israel: Both sides play heavy on emotion in ICJ hearing - BBC News,0
3589,204,11/01/2024,1454,12/01/2024,0.798042238,A quick guide to South Africa’s ICJ case against Israel,Israel says South Africa distorting the truth in ICJ genocide case - BBC News,0
3731,212,09/01/2024,1470,09/01/2024,0.795964122,British FM ‘worried’ Israel may have breached international law in Gaza,David Cameron worried Israel may have broken international law in Gaza - BBC News,1
3769,214,09/01/2024,1476,09/01/2024,0.867879391,Blinken says civilian death toll in Gaza ‘far too high’,"Daily toll on Gazan civilians, especially children, 'far too high' - Blinken - BBC News",1
3771,214,09/01/2024,1478,08/01/2024,0.700432539,Blinken says civilian death toll in Gaza ‘far too high’,Antony Blinken: On the US mission to stop Gaza igniting wider war - BBC News,0
3866,220,08/01/2024,1479,08/01/2024,0.732882023,Hezbollah says Israel kills top commander amid fears of Gaza war escalation,Suspected Israeli strike in Lebanon kills senior Hezbollah commander - BBC News,0
3869,220,08/01/2024,1482,08/01/2024,0.787385702,Hezbollah says Israel kills top commander amid fears of Gaza war escalation,Israel Gaza: Senior Hezbollah commander killed in apparent Israeli strike on Lebanon - BBC News,1
3907,223,07/01/2024,1481,08/01/2024,0.845752418,Blinken says Palestinians displaced in Gaza must be able to return home,Palestinians must be able to stay in Gaza - Blinken - BBC News,1
3924,225,07/01/2024,1480,08/01/2024,0.88734144,"Hamza, son of Al Jazeera’s Wael Dahdouh, killed in Israeli attack in Gaza",Al Jazeera bureau chief's son Hamza al-Dahdouh among journalists killed in Gaza - BBC News,1
4043,238,05/01/2024,1485,06/01/2024,0.828219116,"Israel’s war on Gaza: List of key events, day 91",Israel-Gaza war: The huge challenges facing Israel's 'day after' plan - BBC News,0
4055,239,04/01/2024,1488,05/01/2024,0.765916467,Israeli defence minister outlines new phase in Gaza war,Israeli minister outlines plans for Gaza after war - BBC News,0
4163,246,03/01/2024,1495,04/01/2024,0.798702598,US-led coalition warns Houthis of ‘consequences’ after Red Sea attacks,Houthis defiant after warning over Red Sea attacks - BBC News,1
4234,250,03/01/2024,1502,02/01/2024,0.821486175,Who were the Hamas officials killed in Beirut?,Who was Hamas leader Saleh al-Arouri killed in Beirut? - BBC News,0
4303,255,03/01/2024,1491,04/01/2024,0.795456171,"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?",Saleh al-Arouri: Thousands attend Hamas deputy leader's funeral in Beirut - BBC News,0
4308,255,03/01/2024,1496,03/01/2024,0.765989363,"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?","Saleh al-Arouri: Hamas leader's death 'won't go unpunished', says Hezbollah chief - BBC News",0
4310,255,03/01/2024,1498,03/01/2024,0.765572309,"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?",Hamas deputy leader Saleh al-Arouri's assassination sparks wider war fears - BBC News,0
4311,255,03/01/2024,1499,03/01/2024,0.871689975,"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?",Hamas deputy leader Saleh al-Arouri killed in Beirut blast - BBC News,0
4314,255,03/01/2024,1502,02/01/2024,0.992473602,"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?",Who was Hamas leader Saleh al-Arouri killed in Beirut? - BBC News,1
4333,257,02/01/2024,1496,03/01/2024,0.763479531,Senior Hamas official Saleh al-Arouri killed in Beirut suburb,"Saleh al-Arouri: Hamas leader's death 'won't go unpunished', says Hezbollah chief - BBC News",0
4335,257,02/01/2024,1498,03/01/2024,0.760843515,Senior Hamas official Saleh al-Arouri killed in Beirut suburb,Hamas deputy leader Saleh al-Arouri's assassination sparks wider war fears - BBC News,0
4336,257,02/01/2024,1499,03/01/2024,0.929499567,Senior Hamas official Saleh al-Arouri killed in Beirut suburb,Hamas deputy leader Saleh al-Arouri killed in Beirut blast - BBC News,1
4339,257,02/01/2024,1502,02/01/2024,0.893746912,Senior Hamas official Saleh al-Arouri killed in Beirut suburb,Who was Hamas leader Saleh al-Arouri killed in Beirut? - BBC News,0
4354,258,02/01/2024,1503,02/01/2024,0.778038085,Israel promises to fight South Africa genocide accusation at ICJ,Israel to fight South Africa's Gaza genocide claim in court - BBC News,1
4397,261,02/01/2024,1504,02/01/2024,0.799295485,Turkey arrests dozens suspected of spying for Israel,Turkey detains 34 on suspicion of spying for Israel - BBC News,1
4451,265,01/01/2024,1508,01/01/2024,0.70258379,Israel says it will pull out thousands of troops from Gaza,Israel says war in Gaza expected to continue throughout 2024 - BBC News,0
4581,282,29/12/2023,1514,29/12/2023,0.937341332,South Africa files case at ICJ accusing Israel of ‘genocidal acts’ in Gaza,South Africa files ICJ case accusing Israel of 'genocidal acts' - BBC News,1
4592,283,29/12/2023,1516,29/12/2023,0.780333042,Tens of thousands forced to flee again as Israel expands Gaza offensive,Thousands of Palestinians flee central Gaza as Israeli troops advance - BBC News,1
4632,288,29/12/2023,1511,30/12/2023,0.714720011,UN deplores aid barriers as Israel’s Gaza onslaught steps up,"Israel-Gaza war: Displaced Gazans 'living in the open', UN says - BBC News",0
4633,288,29/12/2023,1512,30/12/2023,0.70228529,UN deplores aid barriers as Israel’s Gaza onslaught steps up,Many Gazans 'living in the open' UN says - BBC News,0
4714,299,27/12/2023,1518,28/12/2023,0.727113128,Israeli strikes kill Hezbollah fighter as violence on Lebanon border grows,Israel Gaza war: Israel warns Hezbollah and Lebanon over border fighting - BBC News,0
4852,313,25/12/2023,1527,25/12/2023,0.847037196,Israeli air strike in Syria kills top Iranian military adviser,"Israeli strike in Syria kills Iranian commander, Iran says - BBC News",1
5047,329,23/12/2023,1538,22/12/2023,0.753152013,Famine by February: How bad is Gaza’s hunger crisis under Israeli attacks?,"Gaza facing famine if fighting continues, UN says - BBC News",1
5094,333,22/12/2023,1536,22/12/2023,0.744892061,UN Security Council passes resolution on increased Gaza aid delivery,"UN Security Council backs ramping up Gaza aid, but no ceasefire - BBC News",0
5098,333,22/12/2023,1540,22/12/2023,0.859253645,UN Security Council passes resolution on increased Gaza aid delivery,UN Security Council demands Gaza aid deliveries at scale - BBC News,0
5099,333,22/12/2023,1541,22/12/2023,0.769832015,UN Security Council passes resolution on increased Gaza aid delivery,Israel-Gaza war: US backs UN Security Council vote on Gaza aid boost - BBC News,1
5123,335,22/12/2023,1541,22/12/2023,0.714224994,What’s the latest UN Gaza resolution that the US has agreed to?,Israel-Gaza war: US backs UN Security Council vote on Gaza aid boost - BBC News,0
5135,336,22/12/2023,1541,22/12/2023,0.770646095,US ready to back diluted resolution on more aid to Gaza as UN vote delayed,Israel-Gaza war: US backs UN Security Council vote on Gaza aid boost - BBC News,0
5155,338,21/12/2023,1538,22/12/2023,0.78675735,"Entire Gaza population facing hunger crisis, famine risk: UN-backed report","Gaza facing famine if fighting continues, UN says - BBC News",1
5176,339,21/12/2023,1542,22/12/2023,0.71618253,"Israel’s war on Gaza deadliest in modern history for journalists, CPJ says",False claims of staged deaths surge in Israel-Gaza war - BBC News,0
5180,339,21/12/2023,1546,20/12/2023,0.77090013,"Israel’s war on Gaza deadliest in modern history for journalists, CPJ says",Israel Gaza: What Gaza's death toll says about the war - BBC News,0
5289,346,21/12/2023,1536,22/12/2023,0.701421142,"UNSC struggles with Gaza truce vote delays, Israel orders mass evacuations","UN Security Council backs ramping up Gaza aid, but no ceasefire - BBC News",0
5304,346,21/12/2023,1551,20/12/2023,0.805944204,"UNSC struggles with Gaza truce vote delays, Israel orders mass evacuations",Israel Gaza: Negotiations delay UN vote urging pause in fighting - BBC News,1
5375,352,20/12/2023,1549,20/12/2023,0.712404132,Hamas head in Cairo as momentum builds towards new Israel-Hamas truce talks,Talks on new pause in Gaza war gain urgency as Hamas chief visits Cairo - BBC News,1
5429,356,19/12/2023,1560,18/12/2023,0.712382436,‘We have a duty’: US doctor says ceasefire an ‘ethical imperative’ in Gaza,Israel-Gaza war: Man on hunger strike hospitalised calling for ceasefire - BBC News,0
5484,360,19/12/2023,1551,20/12/2023,0.710085154,UN Security Council in intense negotiations on Gaza humanitarian resolution,Israel Gaza: Negotiations delay UN vote urging pause in fighting - BBC News,1
5497,361,18/12/2023,1554,18/12/2023,0.823043108,Hamas video shows elderly Israeli captives pleading for release,Israel Gaza: Hamas releases video showing three elderly Israeli hostages - BBC News,1
5539,363,18/12/2023,1558,18/12/2023,0.760350227,Captives mistakenly killed by Israeli troops left SOS signs in Hebrew,Israel Gaza: Hostages shot by IDF put out 'SOS' sign written with leftover food - BBC News,1
5576,365,18/12/2023,1557,18/12/2023,0.793849468,President el-Sisi declared victorious in Egypt election,Egypt election: President Sisi wins third term - BBC News,1
5636,368,18/12/2023,1560,18/12/2023,0.705019355,‘Bloodbath’: Israel continues to target Gaza hospitals and civilians,Israel-Gaza war: Man on hunger strike hospitalised calling for ceasefire - BBC News,0
5650,369,17/12/2023,1555,18/12/2023,0.710924268,At least 90 killed in latest Israeli attacks on Gaza’s Jabalia refugee camp,Gaza health ministry says Israeli strikes kill 110 in Jabalia - BBC News,1
6061,386,15/12/2023,1576,16/12/2023,0.851609468,Israeli army says it mistakenly killed three captives held in Gaza,Israel hostages: IDF says it mistakenly killed three men held in Gaza - BBC News,1
6073,386,15/12/2023,1588,15/12/2023,0.835091174,Israeli army says it mistakenly killed three captives held in Gaza,Israel says it mistakenly killed three hostages in Gaza campaign - BBC News,1
6076,387,15/12/2023,1571,16/12/2023,0.827818632,Al Jazeera condemns Israeli forces killing of cameraman Samer Abudaqa,Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike - BBC News,0
6152,391,15/12/2023,1571,16/12/2023,0.819820225,Al Jazeera journalist Samer Abudaqa killed in Israeli attack in Gaza,Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike - BBC News,1
6210,394,15/12/2023,1572,16/12/2023,0.752412975,Shipping companies pause Red Sea journeys after Houthi attacks,More big shipping firms stop Red Sea routes after attacks - BBC News,1
6215,394,15/12/2023,1578,15/12/2023,0.846892118,Shipping companies pause Red Sea journeys after Houthi attacks,Shipping firms pause Red Sea journeys over attacks - BBC News,0
6606,414,13/12/2023,1595,13/12/2023,0.774408519,UNGA demands ceasefire in Israel’s war on Gaza: How your country voted,Israel Gaza: UN General Assembly demands immediate ceasefire - BBC News,1
6621,415,12/12/2023,1596,12/12/2023,0.864721119,Biden warns Israel risks losing support over ‘indiscriminate’ Gaza bombing,"Israel losing global support over Gaza bombing, Biden says - BBC News",1
6646,416,12/12/2023,1608,11/12/2023,0.731140673,What is the situation in Gaza’s Khan Younis as Israel intensifies attacks?,Tanks push further into Khan Younis as Israel pounds north Gaza - BBC News,0
6719,421,12/12/2023,1598,12/12/2023,0.86612159,Yemen’s Houthis claim missile attack on Norwegian ship Strinda,MK Strinda: Yemen's rebel Houthis hit Norwegian tanker with missile - BBC News,1
6998,443,09/12/2023,1610,10/12/2023,0.765838802,‘People are starving’: WFP says humanitarian operation in Gaza ‘collapsing’,"Israel-Gaza war: Half of Gaza's population is starving, warns UN - BBC News",1
7106,449,08/12/2023,1615,08/12/2023,0.741148472,US vetoes UN resolution calling for Gaza ceasefire,Bowen: US uses veto but pressure for Gaza ceasefire is building - BBC News,1
7177,452,08/12/2023,1617,08/12/2023,0.846354008,Palestinians mourn poet Refaat Alareer killed in Israeli air strike,Refaat Alareer: Palestinians mourn writer killed in air strike - BBC News,1
7490,465,07/12/2023,1623,07/12/2023,0.722416699,Israel should face war crimes probe over journalist death in Lebanon: NGOs,Issam Abdallah: Rights groups want Israel investigated over killed journalist - BBC News,1
7671,472,06/12/2023,1632,07/12/2023,0.745993137,Putin makes rare trip to Middle East to meet with UAE and Saudi leaders,Putin makes rare foreign trip to Gulf states - BBC News,1
7779,476,06/12/2023,1644,05/12/2023,0.73188895,"Israel army in most intense combat in Gaza war, no safe place to evacuate",Israel's new Gaza evacuation zones leave Palestinians few places to go - BBC News,1
7891,481,05/12/2023,1653,05/12/2023,0.823781252,Israeli army surrounds Khan Younis as southern Gaza attacks intensify,Israel says troops in 'heart of Khan Younis' after bombarding south Gaza - BBC News,1
8060,491,04/12/2023,1644,05/12/2023,0.821618497,"Israel asks Palestinians to evacuate, but is any place safe in Gaza?",Israel's new Gaza evacuation zones leave Palestinians few places to go - BBC News,1
8062,491,04/12/2023,1646,04/12/2023,0.719337165,"Israel asks Palestinians to evacuate, but is any place safe in Gaza?",Israel orders evacuations from city in south Gaza as offensive widens - BBC News,0
8112,495,04/12/2023,1644,05/12/2023,0.7674312,Israel orders evacuations as onslaught on Gaza widens,Israel's new Gaza evacuation zones leave Palestinians few places to go - BBC News,0
8114,495,04/12/2023,1646,04/12/2023,0.908111453,Israel orders evacuations as onslaught on Gaza widens,Israel orders evacuations from city in south Gaza as offensive widens - BBC News,0
8120,495,04/12/2023,1652,03/12/2023,0.70924437,Israel orders evacuations as onslaught on Gaza widens,Israeli forces pushing into south Gaza - BBC News,0
8320,511,02/12/2023,1663,01/12/2023,0.724795461,How Democrats are alienating their base by blasting a Gaza war ceasefire,Why has the Gaza ceasefire come to an end? - BBC News,0
8421,516,01/12/2023,1663,01/12/2023,0.755472243,The Israel-Hamas truce has ended: What we know so far,Why has the Gaza ceasefire come to an end? - BBC News,1
8431,516,01/12/2023,1673,30/11/2023,0.769339383,The Israel-Hamas truce has ended: What we know so far,Israel-Hamas truce in Gaza extended as more hostages freed - BBC News,0
8453,517,01/12/2023,1673,30/11/2023,0.709368765,Mediators push to renew truce as Israel-Hamas war resumes in Gaza,Israel-Hamas truce in Gaza extended as more hostages freed - BBC News,0
8504,520,01/12/2023,1658,01/12/2023,0.722945273,"Analysis: Why Israel’s military wanted to end the Gaza truce, and what now?",Gaza's fear and anger as ceasefire ends and fighting erupts - BBC News,0
8509,520,01/12/2023,1663,01/12/2023,0.819056869,"Analysis: Why Israel’s military wanted to end the Gaza truce, and what now?",Why has the Gaza ceasefire come to an end? - BBC News,1
