,cnn_id,cnn_date,bbc_id,bbc_date,cosine_similarity,cnn_title,bbc_title,match
1792,3954,21/12/2023,1551,20/12/2023,0.754911304,"UN resolution on suspending fighting between Israel and Hamas, humanitarian aid to Gaza is ready for vote, US ambassador says",Israel Gaza: Negotiations delay UN vote urging pause in fighting - BBC News,1
1902,3961,16/12/2023,1576,16/12/2023,0.808005929,What we know about how 3 Israeli hostages were killed by the IDF,Israel hostages: IDF says it mistakenly killed three men held in Gaza - BBC News,0
1910,3961,16/12/2023,1588,15/12/2023,0.709840655,What we know about how 3 Israeli hostages were killed by the IDF,Israel says it mistakenly killed three hostages in Gaza campaign - BBC News,0
1968,3966,19/12/2023,1551,20/12/2023,0.830727041,UN vote on resolution calling for halt in hostilities in Gaza delayed again,Israel Gaza: Negotiations delay UN vote urging pause in fighting - BBC News,0
2095,3973,15/12/2023,1576,16/12/2023,0.83875078,IDF accidentally shoots and kills three Israelis held hostage in Gaza,Israel hostages: IDF says it mistakenly killed three men held in Gaza - BBC News,0
2107,3973,15/12/2023,1588,15/12/2023,0.771316886,IDF accidentally shoots and kills three Israelis held hostage in Gaza,Israel says it mistakenly killed three hostages in Gaza campaign - BBC News,1
2324,3985,13/12/2023,1587,14/12/2023,0.712905526,"Gaza healthcare workers ‘taken’ by Israeli forces, says doctor, amid ‘horrendous conditions’ at hospitals",Gaza doctor says lack of medicine is 'catastrophic' as diseases spread - BBC News,0
2345,3986,12/12/2023,1595,13/12/2023,0.916721463,UN General Assembly votes to demand immediate ceasefire in Gaza,Israel Gaza: UN General Assembly demands immediate ceasefire - BBC News,1
2479,3995,07/12/2023,1618,08/12/2023,0.75946641,Images from Gaza show Israeli soldiers detaining dozens of men stripped to underwear,Video shows stripped Palestinian men detained in Gaza - BBC News,1
2595,3999,06/12/2023,1645,05/12/2023,0.739725709,What we know about rape and sexual violence inflicted by Hamas during its terror attack on Israel,"Israel Gaza: Hamas raped and mutilated women on 7 October, BBC hears - BBC News",1
2794,4009,04/12/2023,1650,04/12/2023,0.7737813,Democrats working on resolution condemning Hamas’ use of sexual violence,Hamas planned sexual violence as weapon of war - Israeli campaigner - BBC News,0
2826,4011,04/12/2023,1650,04/12/2023,0.748940051,Sheryl Sandberg on Hamas attack: Rape should never be used as an act of war,Hamas planned sexual violence as weapon of war - Israeli campaigner - BBC News,0
2950,4020,01/12/2023,1673,30/11/2023,0.797122002,"Truce could be renewed if Hamas provides list of hostages for release, sources say",Israel-Hamas truce in Gaza extended as more hostages freed - BBC News,0
3027,4025,30/11/2023,1666,30/11/2023,0.828025579,Hamas says its militants killed three people at Jerusalem bus stop,Three Israelis killed by Palestinian gunmen at Jerusalem bus stop - BBC News,1
3047,4026,30/11/2023,1663,01/12/2023,0.726872146,How the truce between Israel and Hamas was extended another day – and why it could end soon,Why has the Gaza ceasefire come to an end? - BBC News,0
3056,4026,30/11/2023,1673,30/11/2023,0.749567747,How the truce between Israel and Hamas was extended another day – and why it could end soon,Israel-Hamas truce in Gaza extended as more hostages freed - BBC News,1
3169,4031,29/11/2023,1685,28/11/2023,0.766997457,3 Palestinian college students were shot on a walk in Vermont – where their relatives thought they’d be safe,"'Granny, I've been shot,' said Palestinian student targeted in Vermont - BBC News",1
3193,4032,29/11/2023,1687,28/11/2023,0.738729477,Israel assessing Hamas claim youngest hostage and family members are dead,Israel Gaza: Three-year-old-twins among hostages released by Hamas - BBC News,0
3226,4034,27/11/2023,1687,28/11/2023,0.7841506,First testimonies shed light on the conditions endured by Hamas’ Israeli hostages,Israel Gaza: Three-year-old-twins among hostages released by Hamas - BBC News,0
3237,4034,27/11/2023,1698,28/11/2023,0.724476516,First testimonies shed light on the conditions endured by Hamas’ Israeli hostages,Israel says 12 more hostages released by Hamas have left Gaza - BBC News,0
3241,4034,27/11/2023,1702,26/11/2023,0.71772635,First testimonies shed light on the conditions endured by Hamas’ Israeli hostages,"For many Israeli hostage families, the painful wait goes on - BBC News",0
3242,4034,27/11/2023,1703,26/11/2023,0.816643953,First testimonies shed light on the conditions endured by Hamas’ Israeli hostages,More hostages released by Hamas despite agonising delay - BBC News,0
3302,4037,27/11/2023,1689,27/11/2023,0.884203613,"Deal reached to extend Israel-Hamas truce by two days, Qatar says","Israel-Hamas truce in Gaza extended for two days, Qatar says - BBC News",1
3326,4038,27/11/2023,1687,28/11/2023,0.737655163,Israeli women and children have been freed by Hamas. But families of other hostages are in limbo,Israel Gaza: Three-year-old-twins among hostages released by Hamas - BBC News,0
3342,4038,27/11/2023,1703,26/11/2023,0.718657374,Israeli women and children have been freed by Hamas. But families of other hostages are in limbo,More hostages released by Hamas despite agonising delay - BBC News,1
3504,4046,25/11/2023,1703,26/11/2023,0.745952368,Rocky hostage release underscores fragility of deal between Israel and Hamas,More hostages released by Hamas despite agonising delay - BBC News,0
3560,4049,24/11/2023,1716,23/11/2023,0.727214515,"Israel-Hamas truce believed to be holding, with hostage release expected in coming hours",What we know about Israel-Hamas Gaza deal on hostages - BBC News,0
3561,4049,24/11/2023,1717,23/11/2023,0.772879243,"Israel-Hamas truce believed to be holding, with hostage release expected in coming hours",Israel-Gaza war: Hamas hostage's family not expecting release - BBC News,0
3597,4052,22/11/2023,1716,23/11/2023,0.916445374,What do we know about the Israel-Hamas hostage deal?,What we know about Israel-Hamas Gaza deal on hostages - BBC News,1
3598,4052,22/11/2023,1717,23/11/2023,0.715367317,What do we know about the Israel-Hamas hostage deal?,Israel-Gaza war: Hamas hostage's family not expecting release - BBC News,0
3603,4052,22/11/2023,1723,22/11/2023,0.850649357,What do we know about the Israel-Hamas hostage deal?,How the Israel-Hamas hostage deal came together - BBC News,0
3625,4054,22/11/2023,1716,23/11/2023,0.740207434,"US has ‘working list’ of hostages they believe are likely to be released first by Hamas, source familiar says",What we know about Israel-Hamas Gaza deal on hostages - BBC News,0
3640,4055,22/11/2023,1716,23/11/2023,0.709473848,Israel and Hamas agree to breakthrough deal on hostage release and four-day truce,What we know about Israel-Hamas Gaza deal on hostages - BBC News,0
3646,4055,22/11/2023,1723,22/11/2023,0.790663302,Israel and Hamas agree to breakthrough deal on hostage release and four-day truce,How the Israel-Hamas hostage deal came together - BBC News,0
3653,4056,21/11/2023,1723,22/11/2023,0.772282243,"Inside the painstaking negotiations between Israel, Hamas, the US and Qatar to free 50 hostages",How the Israel-Hamas hostage deal came together - BBC News,0
3665,4057,21/11/2023,1723,22/11/2023,0.783421397,"Hostage families welcome first, precarious hopes after Israel-Hamas deal",How the Israel-Hamas hostage deal came together - BBC News,0
3677,4058,21/11/2023,1723,22/11/2023,0.870332599,Israel considers potential hostage deal with Hamas,How the Israel-Hamas hostage deal came together - BBC News,0
3685,4058,21/11/2023,1731,20/11/2023,0.702619433,Israel considers potential hostage deal with Hamas,US says Israel hostage deal 'closer than ever' - BBC News,1
3922,4072,15/11/2023,1759,15/11/2023,0.769986808,Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,Al-Shifa: What we know about Israel's raid on Gaza's main hospital - BBC News,0
3932,4072,15/11/2023,1770,14/11/2023,0.761991441,Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,Israel-Gaza war: US says Hamas has command centre under Al-Shifa hospital - BBC News,1
3939,4072,15/11/2023,1787,15/11/2023,0.805502057,Why Gaza’s largest hospital has become the ‘epicenter’ of Israel’s war on Hamas,Israeli soldiers inside Gaza's biggest hospital - BBC News,0
3944,4073,16/11/2023,1750,17/11/2023,0.915632904,"Body of Israeli hostage found near Al-Shifa hospital, IDF says",Israel finds second hostage body near Al-Shifa hospital - BBC News,0
3945,4073,16/11/2023,1752,16/11/2023,0.833502412,"Body of Israeli hostage found near Al-Shifa hospital, IDF says",Israel says hostage's body found near main Gaza hospital - BBC News,1
4098,4080,16/11/2023,1764,15/11/2023,0.714449167,Have war crimes been committed in Israel and Gaza and what laws govern the conflict?,Israel Gaza war: History of the conflict explained - BBC News,0
4132,4082,15/11/2023,1757,16/11/2023,0.742697954,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,BBC goes inside Al-Shifa hospital with the Israeli army - BBC News,0
4134,4082,15/11/2023,1759,15/11/2023,0.893550932,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,Al-Shifa: What we know about Israel's raid on Gaza's main hospital - BBC News,0
4138,4082,15/11/2023,1763,15/11/2023,0.71827054,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,Bowen: Al-Shifa Hospital raid comes as tone shifts on Israel - BBC News,0
4144,4082,15/11/2023,1770,14/11/2023,0.784409285,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,Israel-Gaza war: US says Hamas has command centre under Al-Shifa hospital - BBC News,0
4151,4082,15/11/2023,1787,15/11/2023,0.791013837,Israeli troops and tanks raid Gaza’s Al-Shifa Hospital,Israeli soldiers inside Gaza's biggest hospital - BBC News,1
4411,4093,13/11/2023,1770,14/11/2023,0.809640527,"Hamas has command node under Al-Shifa hospital, US official says",Israel-Gaza war: US says Hamas has command centre under Al-Shifa hospital - BBC News,1
4465,4096,11/11/2023,1789,12/11/2023,0.858682156,"Gaza hospital in ‘catastrophic situation,’ amid heavy fighting nearby, health officials say",Gaza hospital crippled as fighting rages nearby - BBC News,1
4466,4096,11/11/2023,1790,11/11/2023,0.814611852,"Gaza hospital in ‘catastrophic situation,’ amid heavy fighting nearby, health officials say",World Health Organisation says Gaza's main hospital no longer functioning - BBC News,0
4469,4096,11/11/2023,1793,11/11/2023,0.77680397,"Gaza hospital in ‘catastrophic situation,’ amid heavy fighting nearby, health officials say",Israeli forces surround north Gaza hospitals - BBC News,0
4477,4096,11/11/2023,1814,10/11/2023,0.836040974,"Gaza hospital in ‘catastrophic situation,’ amid heavy fighting nearby, health officials say","Israel-Gaza live news: Firing outside Gaza hospitals, with patients and staff trapped inside - BBC News",0
4480,4097,11/11/2023,1790,11/11/2023,0.741269827,‘Please stop this.’ Gaza’s hospitals are failing under the weight of war. US medical groups are scrambling to help,World Health Organisation says Gaza's main hospital no longer functioning - BBC News,1
4483,4097,11/11/2023,1793,11/11/2023,0.713500619,‘Please stop this.’ Gaza’s hospitals are failing under the weight of war. US medical groups are scrambling to help,Israeli forces surround north Gaza hospitals - BBC News,0
4491,4097,11/11/2023,1814,10/11/2023,0.785272121,‘Please stop this.’ Gaza’s hospitals are failing under the weight of war. US medical groups are scrambling to help,"Israel-Gaza live news: Firing outside Gaza hospitals, with patients and staff trapped inside - BBC News",0
4520,4100,10/11/2023,1790,11/11/2023,0.752029181,Gaza hospital ‘surrounded by tanks’ as other healthcare facilities say they’ve been damaged by Israeli strikes,World Health Organisation says Gaza's main hospital no longer functioning - BBC News,0
4523,4100,10/11/2023,1793,11/11/2023,0.796117246,Gaza hospital ‘surrounded by tanks’ as other healthcare facilities say they’ve been damaged by Israeli strikes,Israeli forces surround north Gaza hospitals - BBC News,1
4544,4100,10/11/2023,1814,10/11/2023,0.826455474,Gaza hospital ‘surrounded by tanks’ as other healthcare facilities say they’ve been damaged by Israeli strikes,"Israel-Gaza live news: Firing outside Gaza hospitals, with patients and staff trapped inside - BBC News",0
4707,4107,10/11/2023,1802,09/11/2023,0.797625244,"14 killed in West Bank city of Jenin after Israeli incursion, Palestinian health ministry says",Jenin raid: 14 Palestinians killed in clashes in West Bank city - BBC News,1
4727,4108,09/11/2023,1801,09/11/2023,0.925528765,"Israel will begin 4-hour pauses in military operations in Gaza each day, White House says",US says Israel to begin daily four-hour military pauses in Gaza - BBC News,1
4921,4114,06/11/2023,1842,06/11/2023,0.810422063,"More than 10,000 killed in Gaza, Hamas-controlled health ministry says, as condemnation of Israel’s campaign grows","Israel Gaza war: Hamas-run health ministry says Gaza death toll passes 10,000 - BBC News",1
5008,4117,08/11/2023,1809,09/11/2023,0.758986235,‘Nothing is left’: Thousands of Palestinians flee south as Israel steps up Gaza City offensive,Israel-Gaza war: Dead bodies and tanks on road south as people flee - BBC News,0
5034,4117,08/11/2023,1836,08/11/2023,0.755234599,‘Nothing is left’: Thousands of Palestinians flee south as Israel steps up Gaza City offensive,Thousands more flee northern Gaza as Israeli forces push on Gaza City - BBC News,1
5143,4121,07/11/2023,1819,08/11/2023,0.704571605,White House warns Israel over post-war plans for Gaza,US warns Israel against reoccupying Gaza after war - BBC News,1
5756,4143,03/11/2023,1861,04/11/2023,0.713114142,Blinken in Israel: ‘We need to do more to protect Palestinian civilians’,Israel rebuffs Blinken's call for Gaza humanitarian pause - BBC News,0
5821,4145,03/11/2023,1868,03/11/2023,0.805145204,Israel expels Gazan workers back to war-torn enclave,Palestinian workers return to Gaza after expulsion from Israel - BBC News,1
6110,4154,01/11/2023,1885,01/11/2023,0.734372854,"What is the Rafah crossing, Gazans’ last hope to escape the war, and how does it work?",Rafah crossing: First Britons leave Gaza but others face nervous wait - BBC News,0
6113,4154,01/11/2023,1888,01/11/2023,0.888434589,"What is the Rafah crossing, Gazans’ last hope to escape the war, and how does it work?",What is the Rafah crossing and why is it Gaza's lifeline? - BBC News,1
6320,4160,01/11/2023,1879,02/11/2023,0.705533385,Foreign nationals and injured Palestinians allowed to flee Gaza for first time since Israel-Hamas war began,Palestinian Americans trapped in Gaza wait desperately to leave - BBC News,0
6324,4160,01/11/2023,1883,02/11/2023,0.70851177,Foreign nationals and injured Palestinians allowed to flee Gaza for first time since Israel-Hamas war began,Egypt opens Gaza border crossing to evacuate injured and foreign nationals - BBC News,1
6492,4164,30/10/2023,1934,29/10/2023,0.747423649,"Israeli troops advance in Gaza, hostage freed and ‘impossible’ hospital evacuation: What to know Monday",Doctors in Gaza say Israel has told them to evacuate a key hospital in Gaza City - BBC News,0
6633,4170,29/10/2023,1933,28/10/2023,0.733272672,US communicating with Israel at ‘the highest levels’ about protecting Gaza civilians but quiet on expanding war,People in Gaza uncontactable and all communication down as Israel intensifies bombing - BBC News,0
6673,4172,29/10/2023,1921,29/10/2023,0.77673614,UN warns ‘civil order’ declining in Gaza as thousands take basics from warehouses,UN: Thousands in Gaza break into warehouses in search of aid - BBC News,1
6719,4174,29/10/2023,1923,29/10/2023,0.801254332,Netanyahu under pressure from hostages’ families and cabinet as Gaza operation escalates,Netanyahu meets Israeli hostages' families anxious over Gaza war plans - BBC News,1
6862,4180,27/10/2023,1950,27/10/2023,0.747712255,"IDF announces expanded ground operation in Gaza, amid communications blackout in the enclave",Israel says ground operations expanding as it intensifies Gaza bombing - BBC News,1
7046,4190,25/10/2023,1947,26/10/2023,0.89278084,"Journalist’s family was killed in Gaza strike, says Al Jazeera",Wael Al-Dahdouh: Al Jazeera reporter's family killed in Gaza strike - BBC News,1
7085,4191,26/10/2023,1947,26/10/2023,0.829772532,An Al Jazeera journalist learned his family had been killed while on the air. It offered the world a glimpse of the horrors in Gaza,Wael Al-Dahdouh: Al Jazeera reporter's family killed in Gaza strike - BBC News,0
7188,4195,26/10/2023,1958,25/10/2023,0.714815676,Israel’s allies fear it could be walking into a trap in Gaza as Hamas and its backers seek a wider conflict,Israelis and Palestinians fear worst to come after Gaza violence - BBC News,0
7225,4197,25/10/2023,1942,26/10/2023,0.852230728,UN says fuel shortages will halt Gaza aid operations within a day,UN agencies reduce Gaza aid operations as fuel runs out - BBC News,0
7410,4202,25/10/2023,1958,25/10/2023,0.71356374,Fears of another Palestinian exodus reverberate across the Middle East,Israelis and Palestinians fear worst to come after Gaza violence - BBC News,0
7667,4210,17/10/2023,2023,18/10/2023,0.760102034,"Hundreds likely dead in Gaza hospital blast, as Israeli blockade cripples medical response",Panic and confusion at scene of Gaza hospital blast - BBC News,0
7673,4210,17/10/2023,2030,18/10/2023,0.812379003,"Hundreds likely dead in Gaza hospital blast, as Israeli blockade cripples medical response",Hospital blast in Gaza City kills hundreds - health officials - BBC News,1
7730,4213,17/10/2023,2037,17/10/2023,0.7396667,"What is the Rafah crossing, Gazans’ last hope to escape the war, and how does it work?",Why Egypt remains reluctant to open Rafah crossing to Gaza - BBC News,0
7942,4222,23/10/2023,1971,24/10/2023,0.875797331,Hamas releases two more hostages as Israel ramps up Gaza strikes,Two more hostages held in Gaza released - BBC News,1
7961,4222,23/10/2023,1991,24/10/2023,0.896026969,Hamas releases two more hostages as Israel ramps up Gaza strikes,Israel confirms two more hostages released from Gaza - BBC News,0
8420,4239,20/10/2023,1996,21/10/2023,0.704424262,Democratic divisions over Israel heat up over Gaza hospital blast controversy,Gaza neighbourhood flattened and hospital told to evacuate - BBC News,0
8440,4239,20/10/2023,2016,19/10/2023,0.733351469,Democratic divisions over Israel heat up over Gaza hospital blast controversy,"Gaza hospital: What video, pictures and other evidence tell us about Al-Ahli hospital blast - BBC News",0
8573,4244,19/10/2023,2011,20/10/2023,0.764306247,READ: Biden’s remarks on wars in Ukraine and Israel,Biden seeks 'vital' war aid for Israel and Ukraine - BBC News,1
8722,4251,19/10/2023,2016,19/10/2023,0.710819483,"Between 100 and 300 believed killed in Gaza hospital blast, according to preliminary US intelligence assessment","Gaza hospital: What video, pictures and other evidence tell us about Al-Ahli hospital blast - BBC News",0
8729,4251,19/10/2023,2023,18/10/2023,0.745881915,"Between 100 and 300 believed killed in Gaza hospital blast, according to preliminary US intelligence assessment",Panic and confusion at scene of Gaza hospital blast - BBC News,0
8736,4251,19/10/2023,2030,18/10/2023,0.769616842,"Between 100 and 300 believed killed in Gaza hospital blast, according to preliminary US intelligence assessment",Hospital blast in Gaza City kills hundreds - health officials - BBC News,1
8855,4256,18/10/2023,2016,19/10/2023,0.781738937,"The devastating Gaza hospital blast is shrouded in uncertainty. Here’s what we know, and what we don’t","Gaza hospital: What video, pictures and other evidence tell us about Al-Ahli hospital blast - BBC News",0
8862,4256,18/10/2023,2023,18/10/2023,0.824267864,"The devastating Gaza hospital blast is shrouded in uncertainty. Here’s what we know, and what we don’t",Panic and confusion at scene of Gaza hospital blast - BBC News,1
8869,4256,18/10/2023,2030,18/10/2023,0.726077557,"The devastating Gaza hospital blast is shrouded in uncertainty. Here’s what we know, and what we don’t",Hospital blast in Gaza City kills hundreds - health officials - BBC News,0
8917,4258,18/10/2023,2020,19/10/2023,0.774196386,"Biden touts aid negotiations for Gaza, as US assesses Israel ‘not responsible’ for hospital blast",Israel Gaza: Biden clinches deal with Egypt to allow aid - BBC News,0
9000,4261,18/10/2023,2016,19/10/2023,0.747848153,How the Gaza hospital explosion set off a furious scramble before Biden’s Israel trip,"Gaza hospital: What video, pictures and other evidence tell us about Al-Ahli hospital blast - BBC News",0
9007,4261,18/10/2023,2023,18/10/2023,0.83730495,How the Gaza hospital explosion set off a furious scramble before Biden’s Israel trip,Panic and confusion at scene of Gaza hospital blast - BBC News,0
9055,4262,18/10/2023,2042,17/10/2023,0.700923204,Hospital blast looms over Biden’s complicated diplomatic mission to Israel,Biden to visit Israel as concerns grow over conflict escalating - BBC News,1
9058,4263,18/10/2023,2016,19/10/2023,0.750390172,US assesses that Israel is ‘not responsible’ for Gaza hospital blast,"Gaza hospital: What video, pictures and other evidence tell us about Al-Ahli hospital blast - BBC News",0
9065,4263,18/10/2023,2023,18/10/2023,0.769368768,US assesses that Israel is ‘not responsible’ for Gaza hospital blast,Panic and confusion at scene of Gaza hospital blast - BBC News,0
9072,4263,18/10/2023,2030,18/10/2023,0.739523888,US assesses that Israel is ‘not responsible’ for Gaza hospital blast,Hospital blast in Gaza City kills hundreds - health officials - BBC News,0
9195,4269,18/10/2023,2016,19/10/2023,0.762922943,Gaza hospital explosion sparks anger and protests in Arab countries,"Gaza hospital: What video, pictures and other evidence tell us about Al-Ahli hospital blast - BBC News",0
9202,4269,18/10/2023,2023,18/10/2023,0.831173122,Gaza hospital explosion sparks anger and protests in Arab countries,Panic and confusion at scene of Gaza hospital blast - BBC News,0
9209,4269,18/10/2023,2030,18/10/2023,0.740138531,Gaza hospital explosion sparks anger and protests in Arab countries,Hospital blast in Gaza City kills hundreds - health officials - BBC News,0
9304,4273,17/10/2023,2042,17/10/2023,0.713218331,How Joe Biden got on board with a wartime trip to Israel – and what he hopes to accomplish,Biden to visit Israel as concerns grow over conflict escalating - BBC News,0
9415,4281,16/10/2023,2042,17/10/2023,0.783921361,President Joe Biden will visit Israel in high-stakes trip,Biden to visit Israel as concerns grow over conflict escalating - BBC News,0
