Timestamp,text,location,press,custom_id,label,cause,effect,iob2
2024/02/08,Iraq condemns ‘clear-cut assassination’ operation after US strike,Palestine,Al Jazeera,19,1,US strike,Iraq condemns ‘clear-cut assassination’ operation,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE']"
2024/02/08,Panic in hemmed-in Rafah as Israel PM orders troops to prepare ground entry,Palestine,Al Jazeera,20,1,Israel PM orders troops to prepare ground entry,Panic in hemmed-in Rafah,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/07,Paramilitary commander killed in Baghdad drone strike: Reports,Palestine,Al Jazeera,21,1,Baghdad drone strike,Paramilitary commander killed,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O', 'O']"
2024/02/07,‘Reckless’: Proposed ban on US funding for UNRWA raises alarm,Palestine,Al Jazeera,22,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/07,Blinken says ‘a lot of work’ remains on Israel-Hamas truce talks,Palestine,Al Jazeera,23,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/07,UN chief warns of ‘age of chaos’ as Security Council stays divided on Gaza,Palestine,Al Jazeera,24,1,Security Council stays divided on Gaza,UN chief warns of ‘age of chaos’,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/07,Blinken in Israel to try to seal Gaza truce deal,Palestine,Al Jazeera,25,1,Blinken in Israel,try to seal Gaza truce deal,"['B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT']"
2024/02/07,US House rejects Israel-only bill; Ukraine-Israel-border bill shaky,Palestine,Al Jazeera,26,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/06,Qatar says Hamas response to truce proposal ‘generally positive’,Palestine,Al Jazeera,27,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/06,"UN envoy in Iraq to step down at end of May, says country ‘on a knife edge’",Palestine,Al Jazeera,28,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/06,Argentina President Javier Milei reveals plans to move embassy to Jerusalem,Palestine,Al Jazeera,29,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/06,Israel should be disqualified from Eurovision 2024: European politicians,Palestine,Al Jazeera,30,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/06,Israel’s war on Gaza: Are boycotts hurting US brands?,Palestine,Al Jazeera,31,1,Israel’s war on Gaza,boycotts hurting US brands,"['B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O']"
2024/02/06,Blinken arrives in Egypt on regional crisis tour pushing Gaza truce deal,Palestine,Al Jazeera,32,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/06,"Defiant Houthis claim fresh Red Sea attacks on US, UK ships",Palestine,Al Jazeera,33,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/06,One person killed in attack on Istanbul courthouse,Palestine,Al Jazeera,34,1,attack on Istanbul courthouse,One person killed,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/06,Russia and China slam US for Middle East strikes,Palestine,Al Jazeera,35,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/05,Yemen appoints Foreign Minister Ahmed Awad bin Mubarak as prime minister,Palestine,Al Jazeera,36,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/05,UN chief appoints independent panel to assess UNRWA,Palestine,Al Jazeera,37,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/05,Controversy after US adult performer Whitney Wright visits Iran,Palestine,Al Jazeera,38,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/05,Israel’s ‘chilling disregard’ for life in occupied West Bank: Amnesty,Palestine,Al Jazeera,39,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/05,Attack on Syrian US base kills Kurdish fighters as regional tension simmers,Palestine,Al Jazeera,40,1,Attack on Syrian US base,kills Kurdish fighters,"['B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'O', 'O', 'O']"
2024/02/04,US-UK strikes on Yemen’s Houthis: What we know so far,Palestine,Al Jazeera,41,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/04,How have Red Sea attacks by Yemen’s Houthi fighters affected companies?,Palestine,Al Jazeera,42,1,Red Sea attacks by Yemen’s Houthi fighters,affected companies,"['O', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'B-EFFECT', 'I-EFFECT', 'O']"
2024/02/04,"US, UK launch new wave of strikes on Yemen’s Houthis amid Gaza war",Palestine,Al Jazeera,43,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/04,Do Yemen’s Houthis have their eye on Marib?,Palestine,Al Jazeera,44,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/03,‘Overshadow Gaza crimes’: World reacts to US attacks on Iraq and Syria,Palestine,Al Jazeera,45,1,US attacks on Iraq and Syria,World reacts,"['O', 'O', 'O', 'O', 'O', 'O', 'B-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/03,"‘Strategic error’: Iran condemns US attacks on Iraq, Syria",Palestine,Al Jazeera,46,1,"US attacks on Iraq, Syria",Iran condemns,"['O', 'O', 'O', 'O', 'O', 'B-EFFECT', 'I-EFFECT', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/03,"Iraq says 16 people, including civilians, killed in ‘new US aggression’",Palestine,Al Jazeera,47,1,new US aggression,"16 people, including civilians, killed","['O', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O']"
2024/02/02,US launches strikes in response to attack that killed troops in Jordan,Palestine,Al Jazeera,48,1,attack that killed troops in Jordan,US launches strikes,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'O', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/02,"UN estimates 17,000 Gaza children left unaccompanied amid Israel’s war",Palestine,Al Jazeera,49,1,Israel’s war,"17,000 Gaza children left unaccompanied","['O', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/02,"Israel plans ground attack on Rafah, ‘last refuge’ for Gaza’s displaced",Palestine,Al Jazeera,50,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/02,"One week after ICJ ruling, is Israel following the court’s orders?",Palestine,Al Jazeera,51,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/02,US to hit back against Iran-linked targets: Who and where will it strike?,Palestine,Al Jazeera,52,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/02,Turkey arrests seven suspected of selling information to Israel’s Mossad,Palestine,Al Jazeera,53,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/02,"US approves plan for strikes on Iran-linked targets in Iraq, Syria: Report",Palestine,Al Jazeera,54,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/01,US imposes sanctions on four Israeli settlers over West Bank violence,Palestine,Al Jazeera,55,1,West Bank violence,US imposes sanctions on four Israeli settlers,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/01,UN experts condemn ‘disturbing’ attacks on journalists in Gaza,Palestine,Al Jazeera,56,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/01,What is UNRWA and why is it important for Palestinians?,Palestine,Al Jazeera,57,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/01,"Journalists, activists targeted in Jordan with Israeli-made Pegasus spyware",Palestine,Al Jazeera,58,1,targeted in Jordan with Israeli-made Pegasus spyware,"Journalists, activists","['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/01,Palestinians demand international inquiry after mass grave found in Gaza,Palestine,Al Jazeera,59,1,mass grave found in Gaza,Palestinians demand international inquiry,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/01,US military targets 10 Houthi drones in new Yemen strikes,Palestine,Al Jazeera,60,1,Houthi drones,US military targets in new Yemen strikes,"['I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'O', 'O']"
2024/01/31,Houthis threaten more attacks against Western warships,Palestine,Al Jazeera,61,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/30,‘Frog being boiled’: US troop deaths in Jordan incite Republican Iran hawks,Palestine,Al Jazeera,62,1,US troop deaths in Jordan,incite Republican Iran hawks,"['O', 'O', 'O', 'O', 'O', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT']"
2024/01/30,Iran summons British ambassador as tensions soar,Palestine,Al Jazeera,63,1,tensions soar,Iran summons British ambassador,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE']"
2024/01/30,Hamas studying three-phase Gaza truce plan as Israeli hardliners warn PM,Palestine,Al Jazeera,64,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/30,Israeli forces kill three Palestinians in West Bank hospital raid,Palestine,Al Jazeera,65,1,Israeli forces raid a hospital in the West Bank,three Palestinians are killed,"['I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-CAUSE', 'I-CAUSE', 'O', 'O', 'O']"
2024/01/29,"Qatar PM says ‘good progress’ in Gaza truce, captives negotiations",Palestine,Al Jazeera,66,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/29,"Israeli intelligence accuses UNRWA staff of kidnap, seizing body",Palestine,Al Jazeera,67,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/29,Two vessels freed following Somali pirate hijackings,Palestine,Al Jazeera,68,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/29,"What is Tower 22, the Jordan-based US outpost targeted in a drone strike?",Palestine,Al Jazeera,69,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/29,Israeli ministers join gathering calling for resettlement of Gaza,Palestine,Al Jazeera,70,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/29,Iranian FM in Pakistan to mend ties following mutual air strikes,Palestine,Al Jazeera,71,1,mutual air strikes,Iranian FM in Pakistan to mend ties,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/01/29,Iran executes four convicted of Israeli bomb plot,Palestine,Al Jazeera,72,1,convicted of Israeli bomb plot,Iran executes four,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/01/29,"Two brothers shot by Israeli forces in Khan Younis, white flag ignored",Palestine,Al Jazeera,73,1,white flag ignored,Two brothers shot by Israeli forces in Khan Younis,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/01/29,Iran denies involvement in drone attack that killed 3 US soldiers in Jordan,Palestine,Al Jazeera,74,1,drone attack,killed 3 US soldiers in Jordan,"['O', 'O', 'O', 'O', 'B-CAUSE', 'I-CAUSE', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT']"
2024/01/29,Australia’s pro-Palestinian activists to continue targeting Israeli ships,Palestine,Al Jazeera,75,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/28,UK says it thwarted Houthis’ drone attack in the Red Sea,Palestine,Al Jazeera,76,1,Houthis' drone attack,UK thwarted the attack in the Red Sea,"['I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'O', 'O', 'O']"
2024/01/28,"Three US service members killed in Jordan drone attack, Biden says",Palestine,Al Jazeera,77,1,Jordan drone attack,Three US service members killed,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O', 'O', 'O']"
2024/01/28,"Which countries have cut funding to UNRWA, and why?",Palestine,Al Jazeera,78,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/28,Iran launches three satellites amid rising tensions with Western powers,Palestine,Al Jazeera,79,1,rising tensions with Western powers,Iran launches three satellites,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/01/28,UNRWA fund cuts by the West ‘collective punishment’ against Palestinians,Palestine,Al Jazeera,80,1,UNRWA fund cuts by the West,‘collective punishment’ against Palestinians,"['B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT']"
2024/01/27,"US, Iraq begin formal talks on winding down US-led military coalition",Palestine,Al Jazeera,81,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/27,Palestinians condemn suspension of UNRWA funding by Western nations,Palestine,Al Jazeera,82,1,suspension of UNRWA funding by Western nations,Palestinians condemn,"['B-EFFECT', 'I-EFFECT', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/01/27,UN Security Council to discuss ICJ ruling in Israel genocide case,Palestine,Al Jazeera,83,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/27,"‘Israel’s supporters have been put on notice’, say experts on ICJ verdict",Palestine,Al Jazeera,84,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/27,US military destroys Houthi antiship missile after oil tanker attack,Palestine,Al Jazeera,85,1,Houthi antiship missile,US military destroys it,"['I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-CAUSE', 'I-CAUSE', 'O', 'O', 'O', 'O']"
2024/01/27,ICJ ruling in Gaza genocide case renews calls to end Israel arms transfers,Palestine,Al Jazeera,86,1,ICJ ruling in Gaza genocide case,renews calls to end Israel arms transfers,"['B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT']"
2024/01/27,‘Can’t stop’: US teen’s family seeks elusive justice in West Bank killing,Palestine,Al Jazeera,87,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/26,US court hears civil case accusing Biden of ‘complicity’ in Gaza ‘genocide’,Palestine,Al Jazeera,88,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/26,Who is Julia Sebutinde? The judge against all ICJ rulings in Israel’s case,Palestine,Al Jazeera,89,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/26,UNRWA probes employees over suspected involvement in October 7 attack,Palestine,Al Jazeera,90,1,suspected involvement in October 7 attack,UNRWA probes employees,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/01/26,"What has the ICJ ordered Israel to do on Gaza war, and what’s next?",Palestine,Al Jazeera,91,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/26,World reacts to ICJ interim ruling in Gaza genocide case against Israel,Palestine,Al Jazeera,92,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/26,ICJ rules Israel must prevent acts of genocide in Gaza: Key takeaways,Palestine,Al Jazeera,93,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/26,ICJ orders Israel to prevent acts of genocide in Gaza,Palestine,Al Jazeera,94,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/26,What the ICJ’s interim ruling means for Israel’s war on Gaza,Palestine,Al Jazeera,95,1,ICJ’s interim ruling,impact on Israel’s war on Gaza,"['I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/26,US warned Iran of terror threat ahead of twin suicide bombings in Kerman,Palestine,Al Jazeera,96,1,US warned Iran of terror threat,twin suicide bombings in Kerman,"['B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT']"
2024/01/26,"Qatar PM to meet Israel, US intel chiefs on new Gaza captives deal",Palestine,Al Jazeera,97,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/26,Has Israel realised that it can’t ‘eradicate’ Hamas?,Palestine,Al Jazeera,98,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/01/25,Families of Israeli captives deny leaking Netanyahu Qatar tape,Palestine,Al Jazeera,99,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
