response,cause,effect,is_causal,Alj_Title,response,cause,effect,is_causal,BBCC_Title
"{'cause': 'Nova Kakhovka dam breached', 'effect': 'Hundreds flee floods in Ukraine', 'is_causal': True}",Nova Kakhovka dam breached,Hundreds flee floods in Ukraine,True,Hundreds flee floods in Ukraine after Nova Kakhovka dam breached,"{'cause': 'dam collapse near Nova Kakhovka', 'effect': 'Thousands flee floods', 'is_causal': True}",dam collapse near Nova Kakhovka,Thousands flee floods,True,Ukraine dam: Thousands flee floods after dam collapse near Nova Kakhovka
"{'cause': 'After ending deal', 'effect': 'Russia warns against Black Sea grain shipments', 'is_causal': True}",After ending deal,Russia warns against Black Sea grain shipments,True,"After ending deal, Russia warns against Black Sea grain shipments","{'cause': 'ending sea deal', 'effect': 'Russia strikes Ukraine grain', 'is_causal': True}",ending sea deal,Russia strikes Ukraine grain,True,Ukraine war: Russia strikes Ukraine grain after ending sea deal
"{'cause': 'Russia of shelling rescuers', 'effect': 'Ukraine accuses', 'is_causal': True}",Russia of shelling rescuers,Ukraine accuses,True,Ukraine accuses Russia of shelling rescuers amid dam evacuations,"{'cause': 'Russia of shelling', 'effect': 'Kherson evacuations', 'is_causal': True}",Russia of shelling,Kherson evacuations,True,Ukraine war: Kyiv accuses Russia of shelling Kherson evacuations
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Poland says Russian missile briefly entered its airspace,"{'cause': 'Russian missile entered airspace', 'effect': 'went into Ukraine', 'is_causal': True}",Russian missile entered airspace,went into Ukraine,True,Poland says Russian missile entered airspace then went into Ukraine
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Ukraine to receive US long-range ATACMS missiles, US media report","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine war: US to give Kyiv long-range ATACMS missiles - media reports
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"After brief exile in Belarus, Wagner boss in Russia: Lukashenko","{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Wagner boss Prigozhin is in Russia, Belarus ruler Lukashenko says"
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine counteroffensive against Russia under way: think tank,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine's counter-offensive against Russia under way
"{'cause': 'Hungary blocks $54bn EU financial aid', 'effect': 'for Ukraine', 'is_causal': True}",Hungary blocks $54bn EU financial aid,for Ukraine,True,Hungary blocks $54bn EU financial aid for Ukraine,"{'cause': 'Hungary blocks', 'effect': '€50bn of EU funding for Ukraine', 'is_causal': True}",Hungary blocks,€50bn of EU funding for Ukraine,True,Hungary blocks â‚¬50bn of EU funding for Ukraine
"{'cause': 'network trafficking Cubans', 'effect': 'Cuba uncovers', 'is_causal': False}",network trafficking Cubans,Cuba uncovers,False,Cuba uncovers network trafficking Cubans to fight for Russia in Ukraine,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Cuba uncovers Russia-Ukraine war trafficking ring
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,UK to declare Russia’s Wagner Group a ‘terrorist’ organisation,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Wagner to be declared a terrorist organisation by UK
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Ukraine says Russian missile defence destroyed in Crimea, 2 warships hit","{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Russian air defence system destroyed in Crimea, Ukraine says"
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Vladimir Putin accepts Kim Jong Un invitation to North Korea,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Kim Jong Un: North Korea leader enters Russia to visit Putin
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"War in Ukraine must stop, South Africa’s Ramaphosa tells Putin","{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Ukraine war must end, South African President Ramaphosa tells Putin"
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,All to know about Ukraine’s Nova Kakhovka dam explosion,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine dam: What we know about Nova Kakhovka incident
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Decoding Putin’s ‘obsessive ideas’ in the Tucker Carlson interview,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,What do Vladimir Putin and Tucker Carlson gain from Moscow interview?
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Full text: NATO Vilnius summit communique,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Nato membership for Ukraine a key question at Vilnius summit
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"NATO membership of Ukraine, Sweden in focus at Vilnius summit","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Nato membership for Ukraine a key question at Vilnius summit
"{'cause': 'Russia’s central bank hikes rates to 12 percent', 'effect': 'halt rouble’s slide', 'is_causal': True}",Russia’s central bank hikes rates to 12 percent,halt rouble’s slide,True,Russia’s central bank hikes rates to 12 percent to halt rouble’s slide,"{'cause': 'rouble falls', 'effect': 'Russia hikes interest rates to 12%', 'is_causal': True}",rouble falls,Russia hikes interest rates to 12%,True,Russia hikes interest rates to 12% as rouble falls
"{'cause': 'Russian attack on Zaporizhzhia city', 'effect': 'At least two killed', 'is_causal': True}",Russian attack on Zaporizhzhia city,At least two killed,True,"At least two killed in Russian attack on Zaporizhzhia city, Ukraine says","{'cause': 'Zaporizhzhia attack', 'effect': 'Two people killed', 'is_causal': True}",Zaporizhzhia attack,Two people killed,True,Ukraine war: Two people killed in Zaporizhzhia attack
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine says it uncovers $40m arms corruption scheme,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine says it has uncovered major arms corruption
"{'cause': 'Russian missile attack in Pokrovsk, eastern Ukraine', 'effect': 'At least 8 killed', 'is_causal': True}","Russian missile attack in Pokrovsk, eastern Ukraine",At least 8 killed,True,"At least 8 killed in Russian missile attack in Pokrovsk, eastern Ukraine","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine war: Seven killed in Russian missile strike on eastern town of Pokrovsk
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine says troops landed on Crimea in ‘special operation’,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine claims Crimea landing for 'special operation' on Independence Day
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Vladimir Putin accepts Kim Jong Un invitation to North Korea,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,North Korea's Kim Jong Un to stay in Russia for several days
"{'cause': 'Russian rock band critical of Ukraine war', 'effect': 'faces deportation from Thailand', 'is_causal': True}",Russian rock band critical of Ukraine war,faces deportation from Thailand,True,Russian rock band critical of Ukraine war faces deportation from Thailand,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Bi-2: Russia anti-war band arrested in Thailand faces deportation
"{'cause': 'US sending depleted uranium shells to Ukraine', 'effect': ""Russia blasts 'inhumanity'"", 'is_causal': True}",US sending depleted uranium shells to Ukraine,Russia blasts 'inhumanity',True,Russia blasts ‘inhumanity’ of US sending depleted uranium shells to Ukraine,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine war: US to arm Kyiv with depleted uranium tank shells
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Russia claims 70 attackers killed in cross-border Belgorod raid,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Belgorod raid: Insurgents defeated after rare cross-border incursion - Russia
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Ukraine, Russia trade blame for destruction of Nova Kakhovka dam","{'cause': 'dam collapse near Nova Kakhovka', 'effect': 'Thousands flee floods', 'is_causal': True}",dam collapse near Nova Kakhovka,Thousands flee floods,True,Ukraine dam: Thousands flee floods after dam collapse near Nova Kakhovka
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Zelenskyy says counteroffensive actions under way against Russia,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine's counter-offensive against Russia under way
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Thailand deports dissident Russian rockers to Israel,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Bi-2: Russian anti-war band leaves Thailand for Israel
"{'cause': 'EU agrees to open Ukraine membership talks', 'effect': 'Zelenskyy claims ‘victory’', 'is_causal': True}",EU agrees to open Ukraine membership talks,Zelenskyy claims ‘victory’,True,Zelenskyy claims ‘victory’ as EU agrees to open Ukraine membership talks,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,EU to open membership talks with Ukraine and Moldova
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Full text: NATO Vilnius summit communique,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Nato summit: Ukraine's future membership to be discussed by leaders in Vilnius
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Ukraine, Russia trade blame for destruction of Nova Kakhovka dam","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Nova Kakhovka: Who benefits from breaching the dam?
"{'cause': 'to protect from Russian air raids', 'effect': 'Ukraine to build first underground school', 'is_causal': True}",to protect from Russian air raids,Ukraine to build first underground school,True,Ukraine to build first underground school to protect from Russian air raids,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine war: First underground school to be built in Kharkiv
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Decoding Putin’s ‘obsessive ideas’ in the Tucker Carlson interview,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Tucker Carlson interviews Russia's Putin - Kremlin
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Russia used North Korean missiles in Ukraine, US says","{'cause': 'Ukraine war', 'effect': 'Russia using North Korea ballistic missiles', 'is_causal': True}",Ukraine war,Russia using North Korea ballistic missiles,True,Ukraine war: US says Russia using North Korea ballistic missiles
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,UN documents summary execution of 77 Ukrainian civilians,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Ukraine war: Russia executed 77 civilians detained by its forces, UN says"
"{'cause': 'a Ukrainian drone attack on Moscow', 'effect': 'Russia says it foiled', 'is_causal': True}",a Ukrainian drone attack on Moscow,Russia says it foiled,True,Russia says it foiled a Ukrainian drone attack on Moscow,"{'cause': 'Ukraine', 'effect': 'Moscow drone attack', 'is_causal': True}",Ukraine,Moscow drone attack,True,Russia accuses Ukraine of Moscow drone attack
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Ukraine, Russia trade blame for destruction of Nova Kakhovka dam","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine dam: What we know about Nova Kakhovka incident
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Russia confirms death of Wagner chief Prigozhin after genetic tests,"{'cause': ""Prigozhin's death"", 'effect': 'What now for Wagner', 'is_causal': True}",Prigozhin's death,What now for Wagner,True,What now for Wagner after Prigozhin's death?
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,What did Vladimir Putin say to Tucker Carlson? Five key takeaways,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,What do Vladimir Putin and Tucker Carlson gain from Moscow interview?
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukrainian children repatriated from Russia through Qatari mediation,"{'cause': 'Qatari deal', 'effect': 'Russia returns four Ukrainian children', 'is_causal': True}",Qatari deal,Russia returns four Ukrainian children,True,Russia returns four Ukrainian children in Qatari deal
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Surovikin: Russian general missing since Wagner mutiny ‘resting’,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine war: Wagner-linked senior general Sergei Surovikin 'resting'
"{'cause': 'Russian attack', 'effect': 'Victoria Amelina, Ukrainian novelist, killed', 'is_causal': True}",Russian attack,"Victoria Amelina, Ukrainian novelist, killed",True,"Victoria Amelina, Ukrainian novelist, killed in Russian attack","{'cause': 'Kramatorsk strike', 'effect': 'Ukrainian writer dies', 'is_causal': True}",Kramatorsk strike,Ukrainian writer dies,True,Victoria Amelina: Ukrainian writer dies after Kramatorsk strike
"{'cause': 'killing of pro-Kremlin blogger', 'effect': 'Russian court jails woman for 27 years', 'is_causal': True}",killing of pro-Kremlin blogger,Russian court jails woman for 27 years,True,Russian court jails woman for 27 years over killing of pro-Kremlin blogger,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Darya Trepova: Russian woman jailed for 27 years for cafe bomb killing
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Timeline: Use of controversial cluster bombs in past conflicts,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Rishi Sunak says the UK discourages use of cluster bombs in Ukraine
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Zelenskyy culminates Washington visit with a White House pledge of $128m,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Zelensky in Washington: Ukrainian president at White House for talks with Biden
"{'cause': 'Prigozhin’s presumed plane crash death', 'effect': 'Russia’s Putin benefit', 'is_causal': True}",Prigozhin’s presumed plane crash death,Russia’s Putin benefit,True,Will Russia’s Putin benefit from Prigozhin’s presumed plane crash death?,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,How Russia reacted after Prigozhin plane crash
"{'cause': 'Putin warrant', 'effect': 'ICC war crimes prosecutor ‘wanted’ in Russia', 'is_causal': True}",Putin warrant,ICC war crimes prosecutor ‘wanted’ in Russia,True,ICC war crimes prosecutor ‘wanted’ in Russia over Putin warrant,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine war: ICC 'undeterred' by arrest warrant for chief prosecutor
"{'cause': 'Ukraine', 'effect': 'Russia thwarts more Belgorod attacks', 'is_causal': True}",Ukraine,Russia thwarts more Belgorod attacks,True,"Russia thwarts more Belgorod attacks, blames Ukraine","{'cause': 'Ukraine for shelling inside border', 'effect': 'Russia blames', 'is_causal': True}",Ukraine for shelling inside border,Russia blames,True,Belgorod: Russia blames Ukraine for shelling inside border
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"NATO membership of Ukraine, Sweden in focus at Vilnius summit","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Nato summit: Ukraine's future membership to be discussed by leaders in Vilnius
"{'cause': ""'Almost naked' celebrity party"", 'effect': 'triggers backlash in wartime Russia', 'is_causal': True}",'Almost naked' celebrity party,triggers backlash in wartime Russia,True,‘Almost naked’ celebrity party triggers backlash in wartime Russia,"{'cause': ""hosting 'almost naked' party"", 'effect': 'Russian influencer Ivleeva fined', 'is_causal': True}",hosting 'almost naked' party,Russian influencer Ivleeva fined,True,Russian influencer Ivleeva fined for hosting 'almost naked' party
"{'cause': 'Russia struck civilian ship near Odesa', 'effect': 'Ukraine says', 'is_causal': True}",Russia struck civilian ship near Odesa,Ukraine says,True,Ukraine says Russia struck civilian ship near Odesa,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Russia strikes civilian ship in Black Sea port of Odesa - Ukraine
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine’s Zelenskyy moves to replace Oleksii Reznikov in defence shake-up,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine's defence minister Oleksii Reznikov dismissed
